run_index,timestamp_utc,ground_truth_latitude,ground_truth_longitude,estimated_latitude,estimated_longitude,identified_objects_used,latitude_error_degrees,longitude_error_degrees,latitude_error_meters,longitude_error_meters,error_distance_meters,cumulative_mean_error_meters
2642,2026-09-21T06:41:37.307573Z,19.84773261438699,39.080908615036066,19.838404653208755,38.999635439802965,49,-0.009327961178236421,-0.0812731752330933,-1037.2219589572906,-8500.59103023096,8563.636823065472,2535621.1479282477
2643,2026-09-21T06:41:54.595300Z,-64.86308596504371,-174.71044853987328,-63.891448599478124,179.90747476800095,31,0.9716373655655843,-5.382076692125793,108041.14558917745,-258799.9898595387,280335.08156135416,2534767.8425682904
2644,2026-09-21T06:42:08.025122Z,46.080432838413856,151.87015422788204,45.92603811275281,151.72589848598426,22,-0.1543947256610423,-0.1442557418977799,-17167.910194186366,-11142.020605107597,20466.59260407576,2533816.89655847
2645,2026-09-21T06:42:16.947652Z,-32.406013222195696,73.1275173581613,-32.437069504427726,73.12198687492352,11,-0.031056282232029275,-0.005530483237777162,-3453.301024643208,-519.1053948698315,3492.0994205695697,2532860.25202269
2646,2026-09-21T06:42:33.128910Z,-16.43730643285107,18.274180376303093,-16.51885298306577,18.330701286571152,31,-0.08154655021469992,0.05652091026806261,-9067.562669240382,6026.709619517684,10887.69551471028,2531907.125584101
2647,2026-09-21T06:42:54.573969Z,-63.28187700896911,140.03440237110556,-63.26323159386771,140.0056092100537,43,0.018645415101403273,-0.028793161051851257,2073.2755644578847,-1439.9336665836702,2524.2583585559487,2530951.559710574
2648,2026-09-21T06:43:11.258881Z,2.572534206592461,-21.6986963851964,-89.98345914631757,74.7178795509142,30,-92.55599335291004,96.41657593611058,-10291756.891391097,7750249.214262186,10293801.687640386,2533883.14963804
2649,2026-09-21T06:43:23.986948Z,5.122255883864678,-47.996370052356156,-89.99982125709279,95.07483543255898,23,-95.12207714095747,143.07120548491514,-10577092.389966823,11740668.692029946,10577128.15324702,2536919.4822177337
2650,2026-09-21T06:43:30.601936Z,2.843197476516122,93.1572348625827,-89.99999999999999,95.00824097005813,19,-92.84319747651611,1.8510061074754276,-10323692.532847488,149104.3506106446,10323692.532847488,2539857.8871424994
2651,2026-09-21T06:43:44.529965Z,3.1455654657670027,153.71789339458797,3.0690210332204964,153.69486778678302,24,-0.07654443254650634,-0.023025607804953552,-8511.352562058146,-2556.5665174171545,8887.021650287019,2538903.164069888
2652,2026-09-21T06:44:03.968889Z,-60.10490637172071,31.190849932587525,-60.058187467430834,34.52660489699017,38,0.04671890428987524,3.335754964402639,5194.905135426838,185002.13875687207,185055.38837240232,2538015.5894938335
2653,2026-09-21T06:44:14.392705Z,-24.24061083532383,-103.54352686165298,-23.95312196768522,-103.24418826669124,15,0.28748886763861137,0.2993385949617391,31967.303548202646,30384.367810528176,44103.45625935203,2537075.55476589
2654,2026-09-21T06:44:27.123401Z,56.50299117844518,173.342630717847,56.08386681724827,-179.99999999868376,29,-0.4191243611969071,6.657369283469279,-46604.502598237625,410802.92083941697,413272.0506627004,2536275.327371729
2655,2026-09-21T06:44:42.906271Z,30.14706210866703,-58.226660876710994,30.518404765957293,-57.165154638631385,29,0.3713426572902634,1.0615062380796019,41291.419537386355,101876.08514956544,109925.28685821056,2535361.447883777
2656,2026-09-21T06:44:55.335081Z,-69.58445942845086,-127.9553129390437,-69.60230094887918,-106.62893291563616,19,-0.017841520428319768,21.326380023407523,-1983.8865552544128,826855.4105560991,822664.220787318,2534716.607060322
2657,2026-09-21T06:45:11.719455Z,-42.66828956971595,-65.04061187803958,-45.02319796954422,-66.05953433858018,27,-2.3549083998282683,-1.0189224605405798,-261853.86677355948,-81712.08376555881,274300.3572924587,2533865.8670340637
2658,2026-09-21T06:45:27.602483Z,-23.784001669161213,89.23150139431641,-23.805898871037016,89.05392059572719,26,-0.021897201875802352,-0.1775807985892186,-2434.857756300936,-18067.572564966904,18230.898547655255,2532919.427994001
2659,2026-09-21T06:45:44.090066Z,-15.246582478786607,140.38340095627535,-15.310363928603559,140.29795178408614,28,-0.06378144981695222,-0.08544917218921455,-7092.173633679607,-9165.697572875759,11589.172841445887,2531971.203001465
2660,2026-09-21T06:45:51.760958Z,4.040033015323782,-50.15959802836534,89.99999999999999,95.33003793089645,29,85.9599669846762,145.48963595926182,9558312.22322976,11029037.179807132,9558312.223229766,2534612.684588017
2661,2026-09-21T06:46:05.640878Z,-4.730767751008057,84.71402337097612,-61.253717964867796,-131.0184638480316,25,-56.52295021385974,144.26751278099232,-6285065.302764179,13454981.275610063,12060978.772125863,2538192.679359734
2662,2026-09-21T06:46:26.387428Z,40.14201878359871,-92.71563047557287,40.05666432597551,-93.10953858754107,40,-0.08535445762319682,-0.3939081119681873,-9490.982654197467,-33504.32800235049,34822.64009279288,2537252.2698784163
2663,2026-09-21T06:46:43.171626Z,-35.860683293769114,-41.20317537834339,-37.20107662071095,-40.98534414649656,32,-1.340393326941836,0.21783123184684428,-149044.9376641535,19463.03418254804,150310.2034461782,2536355.934141867
2664,2026-09-21T06:47:00.656982Z,42.13639553914055,-155.51316310687167,42.15532914950477,-155.6207614720788,33,0.01893361036422192,-0.10759836520713861,2105.3214155663136,-8870.866616316309,9117.271516101704,2535407.2709802203
